        f_mass4l     f_D_bkg_kin         target
      3.5268e-01      4.0344e-01               1
      1.4558e+00     -9.7469e-01               0
      4.4054e-01     -3.9088e-02               1
      3.8684e-01      6.0418e-01               1
      8.7984e-01     -1.3423e+00               0
      4.1125e-01     -8.0850e-02               1
      2.8922e-01      8.1018e-01               1
      3.3315e-01     -6.9218e-01               1
      6.9569e-02      7.8246e-01               1
     -1.2049e+00      7.5403e-01               0
     -1.3128e+00     -5.6444e-01               0
     -9.1508e-02      1.1120e+00               1
      4.0637e-01      1.0527e+00               1
      1.6413e+00     -6.4060e-01               0
     -1.5105e+00     -8.2098e-01               0
      3.7708e-01     -6.3217e-01               1
      1.1044e+00     -1.0396e+00               0
     -1.3386e+00     -2.0087e-01               0
      4.2589e-01      4.7118e-01               1
      4.2101e-01      2.1780e-01               1
      1.6169e+00     -1.3216e+00               0
      1.1385e+00     -1.5955e+00               0
     -1.3455e+00      4.1397e-01               0
      2.4529e-01     -2.4349e-02               1
      2.1112e-01      1.6096e+00               1
      4.1125e-01      2.3043e-01               1
      2.8922e-01      1.5461e+00               1
      3.5756e-01      3.0939e-01               1
      4.1125e-01      9.4529e-01               1
     -1.2059e+00      1.5658e-02               0
     -1.1336e+00     -2.5527e-01               0
      1.9146e+00     -3.6967e-01               0
      3.6732e-01     -4.7179e-01               1
      3.7220e-01      1.4720e+00               1
      3.5756e-01      1.0888e+00               1
      3.6732e-01     -7.4588e-01               1
      1.3791e-01     -9.7960e-01               1
      4.6982e-01      1.5693e+00               1
      4.3566e-01     -7.3500e-01               1
      4.4054e-01      9.7196e-01               1
      3.2339e-01      5.5014e-01               1
     -2.3172e-02      8.4352e-01               1
     -1.1092e+00      2.8693e-01               0
     -1.3113e+00     -1.1021e+00               0
     -7.8951e-01      1.8306e-01               0
     -1.4158e+00     -2.2398e-03               0
     -1.2391e+00     -1.3674e+00               0
      4.5518e-01      1.0550e-01               1
     -1.2830e+00     -6.0129e-01               0
      4.7470e-01      1.0534e+00               1
      2.9410e-01      9.0529e-01               1
     -1.1951e+00     -8.7221e-01               0
      1.0556e+00     -1.0610e+00               0
     -4.1366e-01      3.1711e-01               1
      3.0386e-01      5.2452e-01               1
      3.1851e-01     -2.1526e-01               1
