    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.284e+02   2.960e-01   2.985e+02
         1.0   1.266e+02   1.337e-01   7.414e+01
         1.0   1.281e+02   4.920e-01   2.486e+02
         1.0   1.264e+02   5.094e-01   1.707e+02
         1.0   1.306e+02   3.108e-01   8.568e+01
         1.0   1.225e+02   6.598e-01   1.601e+02
         1.0   1.238e+02   2.460e-01   1.008e+02
         1.0   1.265e+02   8.573e-01   1.198e+02
         1.0   1.246e+02   5.340e-01   9.787e+01
         1.0   1.222e+02   3.434e-01   9.010e+01
         1.0   1.239e+02   7.006e-01   3.976e+01
         1.0   1.266e+02   7.891e-01   1.773e+01
         1.0   1.244e+02   8.144e-01   9.412e+01
         1.0   1.254e+02   4.622e-01   8.724e+01
         1.0   1.251e+02   7.258e-01   1.048e+02
         1.0   1.233e+02   7.455e-01   2.041e+01
         1.0   1.259e+02   7.977e-01   1.258e+02
         1.0   1.242e+02   5.056e-01   6.242e+01
         1.0   1.275e+02   3.219e-01   5.977e+01
         1.0   1.268e+02   9.604e-01   1.347e+02
         1.0   1.247e+02   5.404e-01   9.437e+01
         1.0   1.167e+02   7.057e-02   5.505e+01
         1.0   1.561e+02   9.209e-01   1.372e+02
         1.0   1.231e+02   3.907e-01   1.746e+02
         1.0   1.233e+02   7.455e-01   2.041e+01
         1.0   1.224e+02   9.364e-01   9.515e+01
         1.0   1.251e+02   8.685e-01   4.076e+02
         1.0   1.243e+02   2.040e-01   1.373e+02
         1.0   1.285e+02   7.668e-01   1.321e+02
         1.0   1.256e+02   5.599e-01   4.448e+01
         1.0   1.182e+02   4.522e-01   1.148e+02
         1.0   1.235e+02   7.562e-01   7.702e+01
         1.0   1.137e+02   7.446e-01   4.710e+01
         1.0   1.269e+02   4.079e-01   8.399e+01
         1.0   1.228e+02   6.766e-02   6.511e+01
         1.0   1.263e+02   9.842e-02   1.535e+01
         1.0   1.250e+02   3.828e-01   6.944e+01
