    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.266e+02   2.436e-01   6.849e+02
         1.0   1.244e+02   5.439e-01   6.948e+02
         1.0   1.265e+02   7.022e-01   5.339e+02
         1.0   1.258e+02   3.667e-01   7.976e+02
         1.0   1.242e+02   7.445e-01   5.708e+02
         1.0   7.599e+01   5.135e-01   5.825e+02
         1.0   1.195e+02   2.320e-01   7.846e+02
         1.0   1.046e+02   3.907e-01   7.176e+02
         1.0   7.956e+01   8.459e-01   4.676e+02
         1.0   1.262e+02   5.268e-01   7.277e+02
         1.0   1.014e+02   1.198e-01   5.895e+02
         1.0   1.256e+02   7.368e-01   5.648e+02
         1.0   1.251e+02   4.769e-01   7.888e+02
         1.0   1.223e+02   7.939e-01   8.247e+02
         1.0   7.103e+01   2.282e-01   5.885e+02
         1.0   1.153e+02   7.559e-01   7.671e+02
         1.0   1.276e+02   9.461e-01   8.560e+02
         1.0   1.266e+02   6.290e-01   9.251e+02
         1.0   1.262e+02   4.448e-01   5.463e+02
         1.0   1.247e+02   5.923e-01   7.811e+02
         1.0   1.258e+02   7.918e-01   8.222e+02
         1.0   1.257e+02   9.709e-01   7.545e+02
         1.0   1.262e+02   6.118e-01   6.568e+02
         1.0   1.114e+02   7.401e-01   5.533e+02
         1.0   8.437e+01   6.975e-01   4.759e+02
         1.0   8.845e+01   8.661e-01   7.607e+02
         1.0   1.248e+02   4.972e-01   8.055e+02
         1.0   8.503e+01   1.085e-01   8.786e+02
         1.0   1.232e+02   7.957e-02   7.401e+02
         1.0   1.260e+02   5.533e-01   6.971e+02
         1.0   1.190e+02   7.845e-01   8.558e+02
         1.0   1.124e+02   8.864e-01   7.059e+02
         1.0   1.258e+02   3.667e-01   7.976e+02
         1.0   1.288e+02   4.962e-01   7.404e+02
         1.0   1.220e+02   3.977e-01   8.158e+02
         1.0   1.255e+02   8.700e-01   5.523e+02
         1.0   1.293e+02   2.814e-01   7.792e+02
         1.0   8.455e+01   8.793e-01   8.415e+02
         1.0   1.281e+02   2.473e-01   5.656e+02
         1.0   1.045e+02   3.552e-01   8.483e+02
         1.0   1.254e+02   6.101e-01   8.399e+02
         1.0   1.306e+02   1.959e-01   4.094e+02
         1.0   1.184e+02   3.799e-01   6.598e+02
         1.0   1.252e+02   4.172e-01   6.769e+02
         1.0   1.104e+02   5.382e-01   8.073e+02
         1.0   9.951e+01   1.374e-01   8.160e+02
         1.0   1.252e+02   3.091e-01   7.650e+02
         1.0   1.070e+02   7.925e-01   7.476e+02
         1.0   8.995e+01   1.150e-04   7.604e+02
         1.0   1.263e+02   5.423e-01   7.825e+02
         1.0   1.256e+02   3.455e-01   7.345e+02
         1.0   1.267e+02   4.577e-01   3.580e+02
         1.0   1.247e+02   8.572e-01   4.065e+02
         1.0   1.266e+02   1.711e-01   5.253e+02
         1.0   1.294e+02   6.655e-01   2.615e+02
         1.0   9.328e+01   4.394e-01   8.136e+02
         1.0   1.200e+02   4.978e-01   8.696e+02
         1.0   1.259e+02   7.239e-01   8.596e+02
         1.0   1.269e+02   1.583e-01   7.474e+02
         1.0   1.251e+02   9.466e-01   4.578e+02
         1.0   1.246e+02   8.136e-01   7.528e+02
