        f_mass4l     f_D_bkg_kin         f_pfmet         target
      3.3286e-01      8.4807e-01      3.2421e-02               1
      4.3779e-01      8.8029e-01      2.5820e+00               1
      3.7284e-01      1.0435e+00     -6.3900e-01               0
      4.8276e-01      1.6034e+00      2.5736e+00               1
      1.3772e+00      4.1750e-02     -5.7915e-01               0
     -9.8574e-01      1.4359e+00      2.5300e+00               1
     -1.3350e+00      1.6533e+00     -5.9636e-01               0
      5.5272e-01     -3.8177e-01     -6.6192e-01               0
      8.7749e-01      9.8263e-01     -6.2325e-01               0
      3.5785e-01     -5.7016e-01      2.2836e-01               1
      4.8276e-01     -1.0192e+00      2.4562e+00               1
     -9.6875e-01     -1.6144e+00     -5.7534e-01               0
      3.7783e-01     -4.3028e-01     -6.0271e-01               0
      4.9276e-01      1.4593e+00     -6.3555e-01               1
     -1.5519e+00     -1.0348e+00     -5.6051e-01               0
     -1.5668e+00     -1.3163e+00     -6.0636e-01               0
     -1.2021e+00     -1.0089e+00     -6.4126e-01               0
      2.8790e-01      7.5458e-01     -4.6837e-01               1
     -8.6849e-02      5.9735e-01     -2.2380e-01               1
      3.7284e-01      8.7356e-01     -7.2687e-02               1
      5.3773e-01      3.6718e-01      2.2479e-01               1
     -1.4249e+00     -9.1081e-01     -6.7038e-01               0
      1.5770e+00     -1.7993e-01     -5.8573e-01               0
     -2.1819e+00     -2.9749e-01     -6.5304e-01               0
     -1.3565e+00      1.7355e+00     -6.0338e-01               0
     -1.2905e+00      7.3266e-02     -6.0449e-01               0
      4.5778e-01      1.5669e+00      2.4317e+00               1
     -1.3182e-01     -9.4091e-01     -6.7753e-01               0
      3.0289e-01     -2.3658e-01      1.5696e-01               1
      4.7277e-01      4.9785e-01      1.9065e+00               1
      4.3779e-01      8.3957e-01      7.2481e-02               1
     -1.1896e+00     -1.3332e+00     -6.3634e-01               0
      4.8276e-01     -1.0857e+00     -4.6262e-01               1
     -1.0667e+00     -8.1273e-01     -6.1477e-01               0
      4.8276e-01      1.0903e-01      2.3499e+00               1
      1.0374e+00     -5.1350e-01     -6.2825e-01               0
      4.0282e-01      3.5730e-02      1.4982e-01               1
      6.4265e-01     -4.5047e-01     -6.4182e-01               0
     -1.1686e+00     -1.5119e+00     -5.7006e-01               0
      4.2780e-01      2.3120e-01     -2.2817e-01               1
      3.1288e-01      6.5826e-01      1.6071e+00               1
      1.8796e-01      7.0713e-01     -5.3649e-02               1
     -1.4724e+00     -5.7653e-01     -6.3138e-01               0
     -1.1186e+00      6.4126e-01     -6.1599e-01               0
      4.9775e-01      1.0095e+00      1.3436e-01               1
     -1.3950e+00     -5.1704e-01     -6.3039e-01               0
     -1.3390e+00      1.4770e+00     -6.2353e-01               0
     -1.6558e+00      1.3808e-03      1.8486e+00               1
      5.0275e-01     -1.0231e+00      1.6410e-01               1
      8.3035e-02      2.7546e-01      2.2786e+00               1
     -1.1621e+00     -1.5838e+00     -6.2536e-01               0
      4.4279e-01      3.1406e-01     -5.2215e-01               1
      1.2123e+00     -2.7589e-01     -5.5713e-01               0
      1.0024e+00      2.6980e-01     -6.1639e-01               0
      3.2287e-01      6.1506e-01     -3.9031e-01               1
     -1.2810e+00      8.7746e-01     -6.6937e-01               0
      4.4779e-01      3.2610e-01     -4.9470e-01               1
      3.5285e-01     -1.0829e+00      1.1730e-01               1
     -1.6743e+00      4.8262e-01      2.0144e+00               1
      1.6798e-01      1.0248e+00      1.0262e-01               1
      1.8796e-01      4.1605e-01      2.5764e+00               1
      4.2280e-01     -7.9467e-01     -5.4381e-01               1
      4.9276e-01     -1.5329e+00      2.6450e+00               1
      3.9282e-01     -8.7009e-01      2.8627e-01               1
     -1.3050e+00      2.5174e-01     -6.4308e-01               0
      3.5785e-01     -7.4863e-01     -1.7343e-01               1
      5.0775e-01      4.8050e-01     -5.9704e-01               0
     -2.2774e+00      3.7674e-01      1.4567e+00               1
      4.0781e-01     -4.9827e-01     -6.6668e-01               0
      9.1247e-01     -6.5019e-01     -5.6979e-01               0
      1.2972e+00      7.2235e-01     -6.5605e-01               0
      4.0781e-01      3.2469e-01     -2.5038e-01               1
     -1.0177e+00     -8.3362e-01     -3.9908e-01               0
      4.3280e-01      6.4622e-01      6.1111e-01               1
     -1.2516e+00     -1.5712e+00     -5.5150e-01               0
      3.3786e-01      1.0092e+00     -3.9309e-01               1
      2.3215e+00     -1.5638e+00     -6.2964e-01               0
      2.4464e+00     -1.6331e+00     -6.3864e-01               0
     -1.8402e+00     -1.5061e+00     -6.1968e-01               0
      1.9796e-01     -4.1789e-01     -1.6272e-01               1
      4.2780e-01     -1.0411e+00      1.5577e-01               1
      4.0781e-01     -4.0762e-01      7.6976e-01               1
     -1.2401e+00     -1.0957e+00     -6.1469e-01               0
      4.1781e-01      2.0149e-02      2.4301e+00               1
     -6.1866e-02      1.6958e-01      2.3638e+00               1
      1.5670e+00      6.8801e-01     -5.5662e-01               0
      1.7797e-01      4.0224e-01     -3.7512e-01               1
     -1.4939e+00     -1.4628e-01      1.6848e+00               1
      4.8776e-01      1.4182e+00     -5.8811e-01               0
      1.3800e-01     -9.6606e-01     -4.8451e-01               1
     -1.0347e+00     -1.6445e+00     -5.7244e-01               0
     -1.2855e+00      5.4530e-01     -4.8534e-01               0
      4.5778e-01      1.7773e-01     -5.4456e-01               1
     -1.1183e-01      9.5217e-01     -2.4086e-01               1
     -5.1156e-01      1.6785e+00      2.2476e+00               1
     -7.9637e-01     -3.5628e-05      1.8859e+00               1
     -1.9306e+00      3.2469e-01     -6.6572e-01               0
      4.0781e-01      1.8764e-01     -5.1489e-01               1
     -1.6668e+00     -1.7886e-01     -5.9854e-01               0
      3.7284e-01      1.7751e+00      1.9702e-01               1
     -3.5667e-01     -6.9197e-01      2.5007e+00               1
      4.8059e-02      1.3711e+00      9.0726e-02               1
      2.1916e+00     -1.0865e+00     -6.4261e-01               0
     -1.3385e+00     -4.3807e-01     -6.4249e-01               0
      4.8776e-01      6.2002e-01      2.4106e+00               1
      4.8276e-01      6.6180e-01     -6.4800e-01               0
     -1.3555e+00      1.2744e+00     -5.5908e-01               0
      4.8776e-01      1.1894e+00     -6.4638e-01               0
      2.9289e-01     -1.1760e-01     -5.8692e-01               0
      5.7770e-01      4.8050e-01      2.0100e+00               1
      4.8776e-01      2.9707e-01     -4.3358e-01               1
      2.2794e-01      7.2625e-01      2.5733e+00               1
      3.8783e-01      1.3707e+00      2.4094e+00               1
      1.0824e+00      5.8213e-01     -5.7538e-01               0
      4.1281e-01      2.0358e-01      1.0302e-01               1
      3.7783e-01      1.4391e+00     -1.3972e-01               1
      4.9276e-01      1.1257e+00     -6.2825e-01               1
      6.0268e-01      1.1144e+00     -5.3984e-01               0
      3.9282e-01      1.2124e+00      2.2873e+00               1
      3.2287e-01      6.2996e-02     -3.9035e-01               1
      2.0767e+00      1.0906e+00     -4.9990e-01               0
     -1.4015e+00      4.9572e-01     -5.7106e-01               0
      4.6278e-01      9.2278e-01      4.5721e-01               1
     -1.1281e+00      6.9934e-01     -5.5590e-01               0
      4.2780e-01      1.2404e+00     -2.7616e-01               1
     -1.1836e+00     -1.3354e+00     -6.5383e-01               0
     -1.3950e+00      1.3336e+00     -6.3162e-01               0
      5.1274e-01      9.4297e-01      1.7917e-01               1
      1.2301e-01      1.5510e+00     -6.3745e-01               0
     -8.6232e-01     -1.3903e+00     -5.6673e-01               0
      4.4279e-01      1.5149e+00     -2.0728e-02               1
     -1.3405e+00      1.7861e+00     -6.3606e-01               0
     -1.0947e+00     -1.1598e+00     -5.5241e-01               0
     -7.6856e-02      5.7327e-01      1.4110e-01               1
      1.5299e-01     -3.4990e-01     -6.1790e-01               0
      3.7783e-01      1.5825e-01      2.5374e-01               1
      5.2773e-01     -1.2154e+00     -1.3589e-02               1
      3.2287e-01      2.0145e-01      6.9916e-01               1
      2.3293e-01      1.0634e+00     -5.9319e-01               1
      5.3273e-01     -1.3844e+00     -6.3940e-01               0
      3.1788e-01      4.9572e-01     -4.7182e-01               1
     -6.2148e-01     -1.1690e+00      2.3047e+00               1
      4.4279e-01      1.2358e+00      2.6673e+00               1
     -1.6673e+00     -1.5759e+00     -5.9640e-01               0
      3.9282e-01      6.6818e-01     -5.4730e-01               1
      4.3779e-01      7.4998e-01      2.1937e+00               1
     -1.1052e+00     -1.4225e+00     -6.3908e-01               0
      3.5285e-01      1.4391e+00      1.9216e+00               1
      4.1781e-01      8.6010e-01      6.4548e-02               1
     -1.4454e+00     -1.5692e+00     -5.7847e-01               0
      3.4785e-01      9.0685e-01     -5.9795e-01               1
      4.1281e-01      9.3801e-01     -2.2103e-01               1
     -1.6113e+00     -1.4778e+00     -6.2504e-01               0
      2.4764e+00     -1.5064e+00     -4.1494e-01               0
      2.0667e+00      4.0047e-01     -6.1246e-01               0
      7.2760e-01     -8.0529e-01     -6.9293e-01               0
     -6.9034e-03     -4.2037e-01     -3.9285e-01               1
     -1.1826e+00     -1.5933e+00     -6.8540e-01               0
      1.8318e+00      6.8659e-01     -6.8170e-01               0
      4.8776e-01      1.3863e+00      2.6212e+00               1
      4.2780e-01      1.4593e+00      9.1519e-02               1
      9.4245e-01     -1.6151e-01     -5.1061e-01               0
      3.4286e-01      1.4617e+00      5.4527e-01               1
     -1.2985e+00      5.6867e-01     -6.4308e-01               0
      1.0302e-01      1.4940e+00     -4.7813e-01               1
      4.3779e-01      8.3957e-01      7.2481e-02               1
      3.3786e-01      5.4990e-01      2.3519e+00               1
      1.1301e-01     -2.4614e-01     -6.1544e-01               0
     -3.6883e-02     -1.4735e-01     -6.6878e-01               0
     -1.2870e+00     -7.0578e-01     -5.6665e-01               0
      5.2773e-01     -3.2228e-01      1.4250e+00               1
      4.2280e-01      8.5231e-01      2.2119e+00               1
      5.4272e-01      9.0508e-01     -4.3267e-01               1
     -1.6679e-01     -9.0869e-01     -4.5905e-01               1
     -8.2634e-01      3.6824e-01      2.1639e+00               1
      3.1288e-01      1.1593e+00     -3.2149e-01               1
     -1.6533e+00     -5.4926e-01      2.4229e+00               1
      3.9782e-01      3.8878e-01     -5.1676e-01               1
     -1.2850e+00     -1.1289e+00     -6.4229e-01               0
      4.2780e-01      1.3403e+00      1.7074e+00               1
      4.4779e-01     -5.2058e-01      2.5812e+00               1
      2.6213e+00     -5.2200e-01     -5.5158e-01               0
      8.8249e-01      3.9338e-01     -6.8223e-01               0
      5.5272e-01      1.6459e+00      1.4333e+00               1
