    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.260e+02   6.801e-01   1.532e+02
         1.0   1.242e+02   7.185e-01   7.990e+01
         1.0   1.248e+02   4.566e-01   9.885e+00
         1.0   1.071e+02   7.544e-01   3.813e+02
         1.0   1.166e+02   7.679e-01   9.413e+01
         1.0   1.256e+02   3.298e-01   3.422e+01
         1.0   1.260e+02   4.636e-01   1.666e+01
         1.0   1.259e+02   2.789e-01   4.093e+01
         1.0   1.269e+02   4.035e-01   1.052e+02
         1.0   1.238e+02   1.773e-01   5.292e+01
         1.0   1.229e+02   6.378e-01   3.772e+01
         1.0   1.263e+02   3.140e-01   6.252e+01
         1.0   1.183e+02   9.578e-01   2.558e+02
         1.0   1.237e+02   7.348e-01   2.271e+02
         1.0   1.293e+02   8.070e-01   2.123e+02
         1.0   1.259e+02   4.383e-01   1.339e+02
         1.0   1.239e+02   9.357e-01   9.513e+01
         1.0   1.252e+02   9.540e-01   1.467e+02
         1.0   1.229e+02   5.990e-01   5.644e+01
         1.0   1.280e+02   3.819e-01   7.035e+01
         1.0   1.267e+02   8.184e-01   1.062e+02
         1.0   1.263e+02   4.291e-01   5.265e+01
         1.0   1.255e+02   4.598e-01   7.074e+01
         1.0   1.271e+02   9.370e-01   5.650e+01
         1.0   1.250e+02   3.332e-01   1.502e+02
         1.0   1.251e+02   3.773e-01   7.247e+01
         1.0   1.253e+02   9.282e-01   2.190e+01
         1.0   1.240e+02   1.554e-01   8.604e+01
         1.0   1.129e+02   9.232e-01   1.061e+02
         1.0   1.242e+02   2.855e-01   9.400e+01
         1.0   1.249e+02   1.791e-01   7.418e+01
         1.0   1.254e+02   2.640e-01   5.178e+01
         1.0   1.234e+02   8.206e-01   6.866e+01
         1.0   1.245e+02   4.332e-01   2.396e+02
         1.0   1.241e+02   5.493e-01   6.048e+01
         1.0   1.226e+02   8.642e-01   5.068e+01
         1.0   1.262e+02   6.879e-01   9.849e+01
         1.0   1.270e+02   3.823e-01   7.325e+01
         1.0   1.253e+02   7.591e-01   1.340e+02
         1.0   1.267e+02   7.563e-01   1.529e+02
         1.0   1.251e+02   4.096e-01   1.598e+02
         1.0   1.241e+02   9.619e-01   6.586e+01
         1.0   1.228e+02   7.839e-01   1.674e+02
         1.0   1.262e+02   6.880e-01   7.728e+01
         1.0   1.213e+02   5.283e-01   3.337e+01
         1.0   1.561e+02   9.209e-01   1.112e+02
         1.0   1.247e+02   5.404e-01   1.344e+02
         1.0   1.270e+02   8.067e-01   3.524e+01
         1.0   1.284e+02   7.453e-01   9.927e+01
         1.0   1.264e+02   8.469e-01   1.281e+02
         1.0   1.259e+02   8.108e-01   9.713e+01
         1.0   1.260e+02   8.459e-01   8.505e+01
         1.0   1.247e+02   8.767e-01   7.623e+01
         1.0   1.254e+02   8.386e-01   9.758e+01
         1.0   1.248e+02   5.973e-01   5.762e+01
         1.0   1.232e+02   4.872e-01   1.086e+02
         1.0   1.251e+02   8.742e-01   9.315e+01
         1.0   1.243e+02   6.457e-01   1.005e+02
         1.0   1.242e+02   9.175e-01   1.460e+02
         1.0   1.264e+02   5.575e-01   2.323e+01
         1.0   1.254e+02   2.614e-01   1.685e+02
         1.0   1.239e+02   7.006e-01   2.140e+01
         1.0   1.275e+02   8.503e-01   4.261e+01
         1.0   1.261e+02   6.930e-01   1.074e+02
         1.0   1.234e+02   9.684e-01   1.028e+02
         1.0   1.250e+02   5.934e-01   4.457e+01
         1.0   1.210e+02   8.384e-01   1.711e+02
         1.0   1.246e+02   2.508e-01   1.065e+02
         1.0   1.200e+02   9.177e-01   9.139e+01
         1.0   1.250e+02   6.425e-01   7.222e+01
         1.0   1.242e+02   3.644e-01   6.620e+01
         1.0   1.258e+02   7.530e-01   1.505e+02
         1.0   1.247e+02   4.248e-01   5.557e+01
         1.0   1.247e+02   6.771e-01   8.362e+01
         1.0   1.264e+02   6.634e-01   8.368e+01
         1.0   1.262e+02   2.677e-01   2.058e+02
         1.0   1.235e+02   8.301e-01   7.672e+01
         1.0   1.258e+02   7.373e-01   1.486e+02
         1.0   1.256e+02   3.369e-01   3.071e+01
         1.0   1.242e+02   2.549e-01   3.405e+02
         1.0   1.147e+02   2.615e-01   1.532e+02
         1.0   1.272e+02   6.481e-01   1.359e+01
         1.0   1.241e+02   6.329e-01   8.072e+01
         1.0   1.242e+02   4.061e-01   1.573e+02
         1.0   1.197e+02   6.208e-02   5.685e+01
         1.0   1.324e+02   7.349e-01   2.092e+02
         1.0   1.239e+02   6.251e-01   8.169e+01
         1.0   1.243e+02   6.471e-01   9.536e+01
         1.0   1.233e+02   7.809e-01   5.005e+01
         1.0   1.259e+02   1.991e-01   2.121e+02
         1.0   1.223e+02   9.735e-01   8.772e+01
         1.0   1.278e+02   9.379e-01   4.201e+01
         1.0   1.266e+02   7.317e-01   1.095e+02
         1.0   1.258e+02   8.250e-01   4.638e+01
         1.0   1.263e+02   9.105e-01   7.514e+01
         1.0   1.268e+02   2.411e-01   1.956e+01
         1.0   1.250e+02   2.413e-01   8.129e+01
         1.0   1.243e+02   7.518e-01   7.793e+01
         1.0   1.225e+02   7.292e-01   5.994e+01
         1.0   7.918e+01   4.543e-01   5.928e+01
         1.0   1.226e+02   8.486e-01   4.931e+01
         1.0   1.238e+02   4.426e-01   8.944e+01
         1.0   1.210e+02   5.218e-01   1.729e+01
         1.0   1.244e+02   8.126e-01   6.545e+01
         1.0   1.250e+02   7.893e-01   8.201e+01
         1.0   1.261e+02   6.626e-01   1.981e+02
         1.0   1.242e+02   2.010e-01   1.310e+02
         1.0   1.230e+02   7.276e-01   1.633e+02
         1.0   1.245e+02   6.986e-01   1.648e+01
         1.0   1.205e+02   2.854e-01   1.494e+02
         1.0   1.236e+02   2.120e-01   8.799e+01
         1.0   1.245e+02   9.105e-01   5.366e+01
         1.0   1.260e+02   8.861e-01   2.132e+01
         1.0   1.243e+02   7.177e-01   1.908e+01
         1.0   1.278e+02   7.347e-01   4.910e+01
         1.0   1.269e+02   7.086e-01   8.730e+01
         1.0   1.252e+02   8.327e-01   2.278e+01
         1.0   1.455e+02   2.363e-01   1.194e+02
         1.0   1.269e+02   2.790e-01   1.424e+02
         1.0   1.243e+02   2.400e-01   1.122e+02
         1.0   1.242e+02   2.070e-01   8.930e+01
         1.0   1.262e+02   9.087e-01   4.588e+01
         1.0   1.218e+02   1.562e-01   1.913e+02
         1.0   1.233e+02   7.809e-01   5.005e+01
         1.0   1.266e+02   5.667e-01   1.526e+02
         1.0   1.251e+02   8.339e-01   2.265e+02
         1.0   1.262e+02   7.605e-01   6.507e+01
         1.0   1.279e+02   5.831e-01   4.077e+01
