    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.247e+02   7.693e-01   1.698e+02
         1.0   1.242e+02   6.277e-01   2.034e+02
         1.0   1.242e+02   7.223e-01   1.953e+02
         1.0   1.264e+02   9.407e-01   1.622e+02
         1.0   1.078e+02   8.033e-01   1.872e+02
         1.0   1.244e+02   3.232e-01   1.469e+02
         1.0   1.257e+02   4.562e-01   1.968e+02
         1.0   1.257e+02   7.941e-01   1.784e+02
         1.0   1.208e+02   5.987e-01   1.934e+02
         1.0   1.232e+02   8.645e-01   1.969e+02
         1.0   1.264e+02   3.555e-01   1.877e+02
         1.0   1.233e+02   7.581e-01   1.885e+02
         1.0   1.244e+02   7.323e-01   1.596e+02
         1.0   1.255e+02   6.681e-01   1.820e+02
         1.0   1.235e+02   4.947e-01   2.562e+02
         1.0   1.267e+02   1.337e-01   1.905e+02
         1.0   1.291e+02   1.451e-02   2.000e+02
         1.0   1.128e+02   7.039e-01   1.761e+02
         1.0   1.250e+02   4.983e-01   1.926e+02
         1.0   1.257e+02   7.941e-01   1.784e+02
         1.0   1.251e+02   8.907e-01   2.111e+02
         1.0   1.247e+02   5.480e-01   1.096e+02
         1.0   1.306e+02   8.025e-01   2.336e+02
         1.0   1.228e+02   8.110e-01   3.035e+02
         1.0   1.265e+02   6.959e-01   1.544e+02
         1.0   1.260e+02   9.057e-01   2.743e+02
         1.0   1.247e+02   6.732e-01   1.084e+02
         1.0   1.251e+02   2.568e-01   8.810e+01
         1.0   1.254e+02   7.856e-01   1.775e+02
         1.0   1.246e+02   9.422e-01   2.475e+02
         1.0   1.263e+02   7.565e-01   1.896e+02
         1.0   1.253e+02   6.973e-01   1.952e+02
         1.0   1.225e+02   8.808e-01   1.922e+02
         1.0   1.242e+02   3.993e-01   2.235e+02
         1.0   1.228e+02   4.044e-01   1.984e+02
         1.0   1.246e+02   1.194e-01   1.757e+02
         1.0   1.250e+02   6.332e-01   1.745e+02
         1.0   1.276e+02   3.553e-01   1.335e+02
         1.0   1.254e+02   8.102e-01   1.580e+02
         1.0   1.248e+02   7.742e-01   2.022e+02
         1.0   1.267e+02   1.735e-01   1.571e+02
         1.0   1.253e+02   7.236e-01   1.436e+02
         1.0   1.251e+02   8.932e-01   1.907e+02
         1.0   1.248e+02   4.400e-01   1.384e+02
         1.0   1.233e+02   3.229e-01   9.234e+01
         1.0   1.259e+02   3.982e-01   1.918e+02
         1.0   1.258e+02   9.109e-01   2.350e+02
         1.0   1.233e+02   8.212e-01   1.861e+02
         1.0   1.234e+02   8.351e-01   2.116e+02
         1.0   1.250e+02   4.559e-01   1.771e+02
         1.0   1.267e+02   4.234e-01   1.619e+02
         1.0   1.252e+02   8.807e-01   3.063e+02
         1.0   1.083e+02   6.055e-01   2.308e+02
         1.0   1.238e+02   6.260e-01   1.923e+02
         1.0   1.259e+02   4.175e-01   2.216e+02
         1.0   1.232e+02   8.921e-01   2.039e+02
         1.0   1.168e+02   6.155e-01   2.059e+02
         1.0   1.212e+02   8.046e-01   1.844e+02
         1.0   1.254e+02   4.205e-01   1.770e+02
         1.0   1.262e+02   4.988e-01   1.747e+02
         1.0   1.266e+02   6.460e-01   1.560e+02
         1.0   1.247e+02   7.640e-01   1.909e+02
         1.0   1.266e+02   6.460e-01   1.560e+02
         1.0   1.266e+02   9.403e-01   2.651e+02
         1.0   1.245e+02   8.167e-01   1.737e+02
         1.0   1.230e+02   6.177e-01   1.966e+02
         1.0   1.244e+02   7.323e-01   1.596e+02
         1.0   1.281e+02   3.317e-01   2.021e+02
         1.0   1.271e+02   2.996e-01   5.429e+02
         1.0   1.255e+02   8.666e-01   3.953e+02
         1.0   1.285e+02   1.450e-01   2.050e+02
         1.0   1.218e+02   8.522e-01   2.220e+02
         1.0   1.207e+02   6.649e-01   1.791e+02
         1.0   1.277e+02   1.961e-01   2.113e+02
         1.0   1.253e+02   1.737e-01   1.712e+02
         1.0   1.241e+02   3.721e-01   2.470e+02
         1.0   1.264e+02   2.878e-01   1.865e+02
         1.0   1.179e+02   5.800e-01   1.606e+02
         1.0   1.266e+02   8.599e-01   2.477e+02
         1.0   1.251e+02   6.603e-01   2.297e+02
         1.0   1.255e+02   7.838e-01   1.105e+02
         1.0   1.254e+02   2.228e-01   1.812e+02
         1.0   1.251e+02   2.956e-01   1.931e+02
         1.0   1.219e+02   4.516e-01   1.788e+02
         1.0   1.232e+02   8.921e-01   2.039e+02
         1.0   1.248e+02   8.030e-01   1.899e+02
         1.0   1.197e+02   2.994e-01   1.894e+02
         1.0   1.260e+02   8.290e-01   2.146e+02
         1.0   1.260e+02   1.406e-01   1.827e+02
         1.0   1.243e+02   9.176e-01   1.856e+02
         1.0   1.281e+02   7.989e-01   2.104e+02
         1.0   1.260e+02   7.567e-01   1.929e+02
         1.0   9.162e+01   7.216e-01   9.457e+01
         1.0   1.260e+02   1.813e-01   2.097e+02
         1.0   1.343e+02   8.994e-01   1.883e+02
         1.0   1.232e+02   7.435e-01   1.383e+02
         1.0   1.233e+02   2.067e-01   1.865e+02
         1.0   1.253e+02   5.535e-01   1.610e+02
         1.0   1.190e+02   8.262e-01   1.943e+02
         1.0   1.250e+02   8.641e-01   1.985e+02
         1.0   1.288e+02   1.510e-01   2.235e+02
         1.0   1.248e+02   9.721e-01   1.971e+02
         1.0   8.151e+01   8.075e-01   1.344e+02
         1.0   1.253e+02   5.585e-01   2.109e+02
         1.0   1.240e+02   5.920e-01   1.927e+02
         1.0   1.256e+02   5.446e-01   1.594e+02
         1.0   1.248e+02   7.710e-01   1.761e+02
         1.0   1.252e+02   8.804e-01   2.363e+02
         1.0   1.204e+02   3.271e-01   2.004e+02
         1.0   1.219e+02   7.649e-01   1.684e+02
         1.0   1.274e+02   7.299e-01   2.417e+02
         1.0   1.231e+02   9.576e-02   1.699e+02
         1.0   1.260e+02   1.813e-01   2.097e+02
         1.0   1.268e+02   6.859e-01   2.288e+02
         1.0   1.260e+02   1.505e-01   1.861e+02
         1.0   1.263e+02   7.612e-01   1.594e+02
         1.0   1.239e+02   9.438e-01   1.953e+02
         1.0   1.250e+02   7.853e-01   1.394e+02
         1.0   1.265e+02   4.165e-01   1.751e+02
         1.0   1.239e+02   9.370e-01   2.032e+02
         1.0   1.246e+02   8.780e-01   1.645e+02
         1.0   1.208e+02   7.788e-01   1.903e+02
         1.0   1.272e+02   1.009e-01   2.051e+02
         1.0   1.235e+02   3.485e-01   1.141e+02
         1.0   1.253e+02   7.637e-01   1.884e+02
         1.0   1.241e+02   7.466e-01   1.684e+02
         1.0   1.254e+02   4.690e-01   1.973e+02
         1.0   1.262e+02   6.065e-01   1.955e+02
         1.0   1.198e+02   4.735e-01   2.287e+02
         1.0   1.254e+02   5.679e-01   1.486e+02
         1.0   1.272e+02   3.564e-01   2.024e+02
         1.0   1.240e+02   4.037e-01   1.777e+02
         1.0   1.225e+02   6.528e-01   1.925e+02
         1.0   1.251e+02   4.650e-01   1.436e+02
         1.0   1.257e+02   5.700e-01   2.464e+02
         1.0   1.260e+02   4.733e-02   2.077e+02
         1.0   1.249e+02   7.537e-01   1.986e+02
         1.0   1.229e+02   8.727e-01   2.017e+02
         1.0   1.260e+02   7.761e-01   2.524e+02
         1.0   1.254e+02   5.371e-01   2.040e+02
         1.0   1.264e+02   3.884e-01   1.523e+02
         1.0   1.161e+02   2.674e-01   1.932e+02
         1.0   1.287e+02   7.652e-01   1.875e+02
         1.0   1.230e+02   8.618e-01   1.726e+02
         1.0   1.208e+02   2.802e-01   2.026e+02
         1.0   1.266e+02   5.846e-01   2.072e+02
         1.0   1.291e+02   4.055e-01   1.413e+02
         1.0   1.246e+02   9.422e-01   2.475e+02
         1.0   1.258e+02   9.040e-01   2.234e+02
         1.0   1.260e+02   2.372e-01   1.859e+02
         1.0   1.219e+02   7.649e-01   1.684e+02
         1.0   1.238e+02   8.015e-01   2.165e+02
         1.0   1.280e+02   8.247e-01   1.880e+02
         1.0   1.211e+02   2.891e-01   2.100e+02
         1.0   1.263e+02   4.836e-01   2.295e+02
         1.0   1.250e+02   6.332e-01   1.745e+02
         1.0   1.263e+02   7.066e-01   1.929e+02
         1.0   1.270e+02   8.574e-01   2.008e+02
         1.0   1.239e+02   4.383e-01   1.795e+02
         1.0   1.259e+02   8.121e-01   2.066e+02
         1.0   1.265e+02   2.301e-01   1.980e+02
         1.0   1.264e+02   4.086e-01   1.983e+02
         1.0   1.246e+02   4.699e-01   1.798e+02
         1.0   1.245e+02   8.339e-01   2.699e+02
         1.0   1.261e+02   5.948e-01   1.964e+02
         1.0   1.294e+02   4.928e-01   1.971e+02
         1.0   7.685e+01   4.272e-01   8.754e+01
         1.0   1.254e+02   9.281e-01   1.847e+02
         1.0   1.206e+02   6.556e-01   2.866e+02
         1.0   1.222e+02   2.196e-01   1.835e+02
         1.0   1.262e+02   3.753e-01   1.561e+02
         1.0   1.189e+02   8.032e-01   1.670e+02
         1.0   1.273e+02   9.428e-01   1.569e+02
         1.0   1.268e+02   6.159e-01   2.045e+02
         1.0   1.201e+02   8.985e-01   1.855e+02
         1.0   1.259e+02   4.739e-01   1.804e+02
         1.0   1.249e+02   5.242e-01   1.690e+02
         1.0   1.262e+02   5.361e-01   2.027e+02
         1.0   1.236e+02   2.594e-01   9.740e+01
         1.0   1.248e+02   4.400e-01   1.384e+02
         1.0   1.206e+02   6.924e-01   1.461e+02
         1.0   1.248e+02   8.106e-01   2.142e+02
         1.0   1.129e+02   6.344e-01   1.863e+02
         1.0   1.258e+02   3.865e-01   1.686e+02
         1.0   1.249e+02   7.192e-01   1.957e+02
         1.0   1.260e+02   6.150e-01   1.457e+02
         1.0   1.250e+02   5.827e-01   9.282e+01
         1.0   1.268e+02   9.612e-01   2.092e+02
         1.0   1.274e+02   6.960e-01   8.547e+01
         1.0   1.252e+02   8.439e-01   2.177e+02
         1.0   1.255e+02   4.891e-01   2.042e+02
         1.0   1.248e+02   5.720e-01   1.550e+02
         1.0   1.230e+02   3.828e-01   1.051e+02
         1.0   1.249e+02   1.099e-01   2.014e+02
         1.0   1.204e+02   9.063e-01   1.566e+02
         1.0   1.270e+02   6.053e-01   2.111e+02
         1.0   1.253e+02   8.823e-01   1.998e+02
         1.0   1.262e+02   2.946e-01   1.595e+02
         1.0   1.264e+02   4.893e-01   2.145e+02
         1.0   1.248e+02   4.375e-01   2.141e+02
         1.0   1.225e+02   8.808e-01   1.922e+02
         1.0   1.256e+02   6.179e-01   2.054e+02
         1.0   1.258e+02   6.278e-01   1.203e+02
         1.0   1.218e+02   8.522e-01   2.220e+02
         1.0   1.221e+02   8.012e-01   1.673e+02
         1.0   1.242e+02   1.595e-01   2.010e+02
         1.0   1.264e+02   8.111e-01   2.572e+02
         1.0   1.271e+02   4.716e-01   2.078e+02
         1.0   1.256e+02   2.712e-01   1.479e+02
         1.0   1.230e+02   8.885e-01   1.313e+02
         1.0   1.247e+02   9.311e-01   1.429e+02
         1.0   1.243e+02   3.531e-01   1.711e+02
         1.0   1.255e+02   3.402e-01   2.177e+02
         1.0   1.224e+02   8.434e-01   1.616e+02
