        f_mass4l     f_D_bkg_kin          f_pt4l         target
      1.2793e+00     -1.2981e+00     -3.5397e-01               0
      1.9994e-01     -2.6024e-01     -5.0881e-01               1
      5.0552e-01      3.4632e-01     -4.4958e-01               1
     -1.6715e+00     -7.5482e-01      1.1651e-01               1
     -1.3522e-01      1.1426e+00     -6.6639e-01               0
     -1.8327e+00     -1.5886e+00     -6.2018e-01               0
      2.2458e-01      1.3885e+00      1.2869e-01               1
      3.1330e-01      5.0246e-01     -6.8754e-01               0
      4.6609e-01      1.2270e-01      1.2217e-01               1
      4.0202e-01      1.4757e+00     -2.5471e-01               1
     -1.3023e+00     -1.4634e+00     -7.2031e-01               0
     -2.2812e+00      3.6963e-01      6.4831e-01               1
      1.8314e+00      1.2694e-01     -6.2862e-01               0
      4.5624e-01      1.6368e-01     -2.9936e-01               1
      4.0202e-01     -1.2211e+00      2.7616e+00               1
     -1.2683e+00     -1.3586e+00      2.9036e-02               0
     -1.2141e+00     -1.5126e+00     -6.8506e-01               0
     -1.3531e+00     -1.6707e+00     -5.3040e-01               0
      4.6116e-01     -8.1912e-01     -6.4873e-01               1
      2.7880e-01     -1.2494e+00      1.3233e+00               1
      2.0088e+00     -1.4504e+00     -4.5146e-01               0
     -1.3043e+00     -7.1031e-01     -6.7114e-01               0
     -1.2255e+00     -1.5666e+00     -6.8950e-01               0
     -4.3587e-01      1.3991e+00     -1.1588e-01               1
     -2.5351e-01     -8.9118e-01     -7.1057e-02               1
     -1.3240e+00     -9.2686e-01     -5.0846e-01               0
      4.2173e-01     -3.7753e-01      2.2394e+00               1
      4.5131e-01      6.9005e-01      2.5314e+00               1
      2.8373e-01     -1.0657e-01      2.7089e+00               1
      2.7387e-01      4.3464e-01     -6.2692e-01               0
      4.0202e-01     -7.7602e-01      2.1340e+00               1
      5.1045e-01     -3.5739e-01     -3.7451e-01               1
     -1.5986e-01     -7.4740e-01     -6.7723e-01               0
     -1.2895e+00     -4.8987e-01     -3.0501e-01               0
      3.9709e-01     -1.2939e+00      9.8231e-02               1
      3.8723e-01      1.4460e+00      1.3566e-01               1
      4.3159e-01      8.9071e-01      2.0840e+00               1
     -1.3240e+00     -1.0003e+00     -6.0808e-01               0
      1.5356e+00     -1.6258e+00      1.0650e-01               0
      3.9709e-01      1.6425e+00     -3.8013e-01               1
     -7.0688e-03     -4.5242e-01      9.7339e-01               1
      3.9216e-01      6.9888e-01      1.3000e-01               1
      1.7969e+00     -8.2477e-01     -6.2396e-01               0
      3.6259e-01      5.6287e-01     -4.8697e-01               1
      3.3794e-01     -4.3264e-01      1.2523e+00               1
      4.5624e-01     -8.9966e-01      4.3376e-01               1
     -1.0204e+00      3.5162e-01     -7.1571e-01               0
     -1.1362e+00     -5.8175e-02     -6.5090e-01               0
      2.0088e+00     -1.4504e+00     -4.5146e-01               0
      1.2601e-01     -3.5068e-01     -4.7321e-01               1
      5.5974e-01      2.1561e-01      1.1956e-01               1
      3.5766e-01      1.0963e+00      2.4844e+00               1
      2.5066e+00      4.4347e-01     -6.7044e-01               0
     -2.1378e+00      1.0066e+00      7.7364e-01               1
     -3.6687e-01      1.4754e+00      8.6916e-02               1
      4.0695e-01     -5.9234e-02      1.2260e-01               1
      5.0059e-01     -6.4531e-01      2.4794e-01               1
     -1.5187e+00     -1.6422e+00     -6.8167e-01               0
     -1.3600e+00     -1.7475e-01     -5.5377e-01               0
      2.9851e-01     -1.9878e-01      1.5731e+00               1
     -5.3938e-01      5.7524e-01     -4.6094e-01               0
      1.4026e+00     -4.3299e-01     -6.8150e-01               0
      2.0487e-01     -3.7824e-01      7.0814e-02               1
      1.8954e+00     -2.5565e-01     -6.6896e-01               0
      1.4913e+00     -9.5089e-01     -5.1047e-01               0
      3.9709e-01     -9.8091e-01     -6.9615e-01               0
      4.1188e-01      5.1024e-01      2.3421e+00               1
     -1.1959e+00     -8.3996e-01     -6.1657e-01               0
      3.8230e-01     -3.8777e-01     -6.8128e-01               0
      3.1330e-01      1.1765e+00     -3.9375e-01               1
      4.6609e-01      9.6911e-02     -4.6233e-01               1
     -1.3280e+00     -2.4967e-02     -6.9604e-01               0
     -1.2634e+00     -1.6207e+00     -7.2083e-01               0
     -1.3723e+00     -1.1681e+00     -7.0043e-01               0
     -4.1570e-02      1.1797e+00      2.4822e+00               1
      2.0088e+00     -1.6303e+00     -7.0240e-01               0
     -1.1077e+00     -1.1427e+00     -4.2134e-01               0
      3.5766e-01     -4.9941e-01     -1.7594e-01               1
     -1.8943e-01     -6.0892e-01      9.3009e-02               1
     -1.1643e+00     -1.0028e+00     -5.5124e-01               0
     -1.1979e+00      5.5192e-01     -6.2718e-01               0
      1.8022e-01      4.3287e-01      1.1346e-01               1
     -3.4715e-01      9.4582e-01      2.2002e+00               1
     -1.1086e+00     -1.1628e+00     -6.4659e-01               0
      3.7245e-01      2.4740e-01      2.8556e+00               1
      3.6752e-01     -5.5240e-01      2.1356e-01               1
      2.3937e-01     -3.5810e-01     -2.0205e-01               1
      2.9359e-01     -1.4896e-01     -2.2685e-01               1
     -1.1772e+00     -1.3660e-01     -6.9433e-01               0
      1.8659e+00     -1.4521e+00     -5.7966e-01               0
      4.8581e-01      3.1134e-01     -4.9967e-01               0
      2.9851e-01     -5.2025e-01     -4.3979e-01               0
     -1.3265e+00     -5.0506e-01     -6.9815e-01               0
      3.0837e-01     -1.7440e-01      2.2748e-01               1
     -8.7946e-01     -1.4844e+00      1.5061e+00               1
      1.8609e+00      6.8687e-01     -1.5722e-01               0
      4.3159e-01      1.5393e+00     -5.3418e-01               1
     -1.4142e+00      4.6749e-01     -3.6368e-01               0
      2.9359e-01      1.2754e+00     -9.8039e-02               1
     -1.6429e+00      1.2715e+00      9.9864e-01               1
      1.2498e+00     -7.8061e-01     -5.4520e-02               0
     -9.5931e-01      4.5124e-01     -6.7880e-01               0
     -1.1501e+00     -2.6272e-01     -5.1464e-01               0
      1.5504e+00      8.5962e-01     -6.0186e-01               0
      2.4967e+00     -1.7902e-02     -6.1522e-01               0
     -6.2316e-01     -1.3077e+00     -6.3110e-01               0
     -4.5066e-01     -4.4324e-01      1.9478e+00               1
     -1.5310e+00     -4.9835e-01     -7.2608e-01               0
      3.3302e-01      5.0953e-01      3.0669e-01               1
      4.3652e-01     -2.2810e-01      2.5316e-01               1
      3.9216e-01     -3.0758e-01      2.8752e+00               1
      2.9359e-01      1.4291e+00     -1.1872e-02               1
      9.2940e-01      8.7728e-01     -7.0933e-01               0
     -9.5142e-01     -7.1667e-01     -5.1256e-01               0
     -5.2459e-01      6.3141e-01     -5.6713e-01               0
      2.4327e+00     -1.6450e+00     -6.1922e-01               0
      3.3302e-01      1.6736e+00      9.2770e-01               1
      3.7738e-01     -9.6328e-02      2.5272e-01               1
     -8.4989e-01      3.6116e-01      2.1071e+00               1
     -1.4517e+00     -5.9267e-01     -6.5891e-01               0
      1.2991e+00     -3.1182e-01     -6.0342e-01               0
     -1.3600e+00      8.2111e-01      1.1958e+00               1
      3.9216e-01      8.4193e-02     -6.9872e-01               0
      5.8438e-01      1.5506e+00     -2.8082e-01               0
      4.0202e-01      3.7529e-01     -4.8771e-01               1
      2.2897e+00     -1.4699e+00     -6.8136e-01               0
      2.0487e-01      1.4499e+00     -4.3474e-01               1
      3.9709e-01     -1.6592e-01      2.8166e-02               1
      4.4145e-01     -2.5636e-01      3.2845e-01               1
      3.1330e-01     -8.6963e-01      9.8950e-01               1
      4.0695e-01      7.5011e-01     -3.9471e-01               1
      2.2947e+00      3.6855e-02     -7.1600e-01               0
     -8.0060e-01     -1.3372e+00     -6.8293e-01               0
